active_date,quantity
1/2/2019,78
1/3/2019,78
1/4/2019,78
1/5/2019,7
1/6/2019,170
1/7/2019,142
1/8/2019,46
1/9/2019,250
1/10/2019,86
1/11/2019,155
1/12/2019,142.5
1/13/2019,86.5
1/14/2019,747
1/15/2019,71.5
1/16/2019,221.5
1/17/2019,62.5
1/18/2019,43
1/19/2019,1766
1/20/2019,351
1/21/2019,625
1/22/2019,3250.5
1/23/2019,4307.5
1/24/2019,7198.5
1/25/2019,5350.5
1/26/2019,2683.5
1/27/2019,1222
1/28/2019,1507
1/29/2019,2285
1/30/2019,2716.5
1/31/2019,1290
2/1/2019,2498.5
2/2/2019,4905
2/3/2019,6330
2/4/2019,8007.5
2/5/2019,5713
2/6/2019,4979
2/7/2019,2534
2/8/2019,1506
2/9/2019,125
2/10/2019,391
2/11/2019,1134.5
2/12/2019,373
2/13/2019,1866
2/14/2019,1529
2/15/2019,6192
2/16/2019,2101.5
2/17/2019,4281
2/18/2019,2975
2/19/2019,3442
2/20/2019,1610
2/21/2019,2769
2/22/2019,1008
2/23/2019,132.5
2/24/2019,744.3
2/25/2019,326
2/26/2019,96
2/27/2019,1665
2/28/2019,4307.5
3/1/2019,410.5
3/2/2019,584
3/3/2019,649
3/4/2019,450
3/5/2019,876.8
3/6/2019,2672.5
3/7/2019,696.5
3/8/2019,444
3/9/2019,1122
3/10/2019,2078
3/11/2019,3045
3/12/2019,769.5
3/13/2019,3197.5
3/14/2019,1303
3/15/2019,4051
3/16/2019,2148
3/17/2019,1428
3/18/2019,1312.5
3/19/2019,308.5
3/20/2019,2640
3/21/2019,991
3/22/2019,6165
3/23/2019,2293.5
3/24/2019,85
3/25/2019,1520.5
3/26/2019,2737
3/27/2019,1060
3/28/2019,55.5
3/29/2019,426
3/30/2019,726
3/31/2019,291
4/1/2019,4619
4/2/2019,774
4/3/2019,253
4/4/2019,1002
4/5/2019,252
4/6/2019,252
4/7/2019,78
