quantity,date
379.49,2019-10-28
669.51,2019-10-29
337.17,2019-10-30
603.74,2019-10-31
189.82,2019-11-01
241.34,2019-11-02
163.02,2019-11-03
66.38,2019-11-04
61.37,2019-11-05
117.99,2019-11-06
47.14,2019-11-07
124.21,2019-11-08
163.56,2019-11-09
181.84,2019-11-10
217.17,2019-11-11
233.48,2019-11-12
224.11,2019-11-13
391.97,2019-11-14
314.03,2019-11-15
361.98,2019-11-16
403.5,2019-11-17
254.15,2019-11-18
113.39,2019-11-19
320.6,2019-11-20
0.0,2019-11-21
186.06,2019-11-22
245.63,2019-11-23
404.95,2019-11-24
520.37,2019-11-25
766.6,2019-11-26
943.09,2019-11-27
1033.25,2019-11-28
401.32,2019-11-29
650.54,2019-11-30
461.89,2019-12-01
208.54,2019-12-02
192.3,2019-12-03
31.16,2019-12-04
224.17,2019-12-05
124.54,2019-12-06
309.29,2019-12-07
273.23,2019-12-08
474.41,2019-12-09
475.23,2019-12-10
412.59,2019-12-11
349.86,2019-12-12
232.03,2019-12-13
377.75,2019-12-14
311.51,2019-12-15
423.12,2019-12-16
221.11,2019-12-17
312.12,2019-12-18
0.0,2019-12-19
107.87,2019-12-20
133.3,2019-12-21
277.84,2019-12-22
340.99,2019-12-23
293.67,2019-12-24
468.49,2019-12-25
405.94,2019-12-26
565.38,2019-12-27
306.28,2019-12-28
365.69,2019-12-29
285.29,2019-12-30
183.67,2019-12-31
0.0,2020-01-01
80.16,2020-01-02
132.37,2020-01-03
40.55,2020-01-04
13.53,2020-01-05
103.45,2020-01-06
163.52,2020-01-07
320.82,2020-01-08
181.79,2020-01-09
258.72,2020-01-10
348.81,2020-01-11
570.07,2020-01-12
260.68,2020-01-13
626.04,2020-01-14
178.96,2020-01-15
238.88,2020-01-16
176.6,2020-01-17
103.84,2020-01-18
44.64,2020-01-19
100.14,2020-01-20
0.0,2020-01-21
0.0,2020-01-22
0.0,2020-01-23
0.0,2020-01-24
0.0,2020-01-25
0.0,2020-01-26
0.0,2020-01-27
861.15,2020-01-28
15.29,2020-01-29
15.29,2020-01-30
138.95,2020-01-31
190.74,2020-02-01
25.28,2020-02-02
271.51,2020-02-03
228.56,2020-02-04
166.46,2020-02-05
223.83,2020-02-06
424.1,2020-02-07
484.93,2020-02-08
356.01,2020-02-09
1049.08,2020-02-10
1017.16,2020-02-11
947.29,2020-02-12
812.83,2020-02-13
364.76,2020-02-14
133.69,2020-02-15
229.96,2020-02-16
188.33,2020-02-17
196.19,2020-02-18
278.37,2020-02-19
335.38,2020-02-20
377.12,2020-02-21
382.45,2020-02-22
394.11,2020-02-23
646.76,2020-02-24
600.66,2020-02-25
335.52,2020-02-26
153.32,2020-02-27
139.71,2020-02-28
48.71,2020-02-29
34.22,2020-03-01
119.32,2020-03-02
138.58,2020-03-03
154.09,2020-03-04
163.94,2020-03-05
192.48,2020-03-06
270.05,2020-03-07
703.38,2020-03-08
780.12,2020-03-09
669.89,2020-03-10
1151.17,2020-03-11
1301.89,2020-03-12
1071.85,2020-03-13
39.55,2020-03-14
219.31,2020-03-15
151.55,2020-03-16
92.32,2020-03-17
57.72,2020-03-18
107.44,2020-03-19
108.55,2020-03-20
233.43,2020-03-21
238.5,2020-03-22
475.36,2020-03-23
519.16,2020-03-24
0.0,2020-03-25
709.6,2020-03-26
916.27,2020-03-27
417.85,2020-03-28
353.76,2020-03-29
457.54,2020-03-30
413.07,2020-03-31
478.22,2020-04-01
0.0,2020-04-02
422.68,2020-04-03
252.11,2020-04-04
0.0,2020-04-05
640.15,2020-04-06
977.36,2020-04-07
1642.41,2020-04-08
1569.67,2020-04-09
1649.85,2020-04-10
1252.63,2020-04-11
307.04,2020-04-12
242.3,2020-04-13
493.37,2020-04-14
0.0,2020-04-15
30.26,2020-04-16
150.74,2020-04-17
200.71,2020-04-18
376.87,2020-04-19
398.34,2020-04-20
475.2,2020-04-21
461.27,2020-04-22
741.92,2020-04-23
375.07,2020-04-24
189.38,2020-04-25
291.9,2020-04-26
582.29,2020-04-27
0.0,2020-04-28
455.28,2020-04-29
0.0,2020-04-30
0.0,2020-05-01
303.44,2020-05-02
181.51,2020-05-03
463.51,2020-05-04
661.48,2020-05-05
1069.66,2020-05-06
1984.11,2020-05-07
2581.85,2020-05-08
2710.77,2020-05-09
1087.17,2020-05-10
1731.97,2020-05-11
981.53,2020-05-12
954.68,2020-05-13
435.89,2020-05-14
147.36,2020-05-15
198.03,2020-05-16
224.99,2020-05-17
106.39,2020-05-18
491.68,2020-05-19
493.03,2020-05-20
758.65,2020-05-21
789.55,2020-05-22
847.55,2020-05-23
510.77,2020-05-24
1281.96,2020-05-25
492.28,2020-05-26
1152.88,2020-05-27
326.18,2020-05-28
0.0,2020-05-29
158.69,2020-05-30
319.45,2020-05-31
399.17,2020-06-01
553.96,2020-06-02
742.45,2020-06-03
958.35,2020-06-04
2368.32,2020-06-05
3365.55,2020-06-06
2834.79,2020-06-07
2721.78,2020-06-08
1712.21,2020-06-09
0.0,2020-06-10
1080.99,2020-06-11
367.04,2020-06-12
270.38,2020-06-13
364.06,2020-06-14
271.02,2020-06-15
421.7,2020-06-16
586.32,2020-06-17
657.18,2020-06-18
813.51,2020-06-19
773.93,2020-06-20
1041.94,2020-06-21
626.61,2020-06-22
869.52,2020-06-23
986.61,2020-06-24
918.43,2020-06-25
329.5,2020-06-26
211.95,2020-06-27
0.0,2020-06-28
304.24,2020-06-29
661.91,2020-06-30
729.94,2020-07-01
608.8,2020-07-02
