date,quantity
2015-03-02,72.98
2015-03-03,66.42
2015-03-04,55.25
2015-03-05,52.88
2015-03-06,46.19
2015-03-07,84.97
2015-03-08,73.55
2015-03-09,71.6
2015-03-10,66.3
2015-03-11,61.33
2015-03-12,63.66
2015-03-13,64.02000000000001
2015-03-14,69.69
2015-03-15,78.14
2015-03-16,61.93
2015-03-17,45.6
2015-03-18,54.8
2015-03-19,54.15
2015-03-20,50.64
2015-03-21,79.97
2015-03-22,77.16
2015-03-23,68.53999999999999
2015-03-24,61.86
2015-03-25,49.18
2015-03-26,46.11
2015-03-27,39.59
2015-03-28,74.82
2015-03-29,83.27
2015-03-30,51.35
2015-03-31,51.17
2015-04-01,48.61
2015-04-02,50.14
2015-04-03,59.33
2015-04-04,82.27
2015-04-05,71.12
2015-04-06,56.08
2015-04-07,62.84
2015-04-08,53.62
2015-04-09,51.94
2015-04-10,47.63
2015-04-11,73.67
2015-04-12,84.52
2015-04-13,60.5
2015-04-14,53.12
2015-04-15,57.91
2015-04-16,56.07
2015-04-17,36.7
2015-04-18,69.24
2015-04-19,75.13
2015-04-20,54.77
2015-04-21,60.79
2015-04-22,62.63
2015-04-23,58.23
2015-04-24,33.459999999999994
2015-04-25,77.64
2015-04-26,71.82
2015-04-27,66.74000000000001
2015-04-28,67.62
2015-04-29,49.61
2015-04-30,56.63
2015-05-01,55.98
2015-05-02,71.83
2015-05-03,85.91
2015-05-04,53.34
2015-05-05,63.29
2015-05-06,58.96
2015-05-07,58.83
2015-05-08,56.46
2015-05-09,79.08
2015-05-10,76.28
2015-05-11,66.39
2015-05-12,49.23
2015-05-13,51.94
2015-05-14,43.96
2015-05-15,35.879999999999995
2015-05-16,78.3
2015-05-17,66.17
2015-05-18,71.86
2015-05-19,89.51
2015-05-20,37.22
2015-05-21,33.68000000000001
2015-05-22,46.98
2015-05-23,78.09
2015-05-24,73.74
2015-05-25,68.03
2015-05-26,43.13
2015-05-27,49.01
2015-05-28,53.63
2015-05-29,38.59
2015-05-30,79.73
2015-05-31,75.86
2015-06-01,50.25
2015-06-02,42.87
2015-06-03,46.44
2015-06-04,44.53
2015-06-05,51.27
2015-06-06,77.06
2015-06-07,76.96000000000001
2015-06-08,32.790000000000006
2015-06-09,51.82
2015-06-10,50.57
2015-06-11,48.61
2015-06-12,52.32
2015-06-13,84.74
2015-06-14,81.66
2015-06-15,62.08
2015-06-16,52.34
2015-06-17,49.46
2015-06-18,38.9
2015-06-19,40.34
2015-06-20,77.33
2015-06-21,76.13
2015-06-22,56.1
2015-06-23,45.6
2015-06-24,58.28
2015-06-25,62.82
2015-06-26,58.07
2015-06-27,84.32
2015-06-28,81.97
2015-06-29,59.83
2015-06-30,47.84
2015-07-01,52.2
2015-07-02,44.57
