phase,task,start,end
Phase A,Task A1,2020-06-01,2020-06-15
Phase A,Task A2,2020-06-15,2020-06-22
Phase A,Task A3,2020-06-22,2020-06-30
Phase B,Task B1,2020-07-01,2020-07-20
Phase B,Task B2,2020-07-15,2020-07-31
Phase B,Task B3,2020-08-01,2020-08-20
Phase B,Task B1,2020-08-01,2020-08-05
Phase B,Task B4,2020-08-12,2020-08-21
Phase B,Task B5,2020-08-15,2020-09-05
Phase B,Task B2,2020-08-20,2020-08-31
Phase C,Task C1,2020-09-01,2020-09-27
Phase C,Task C2,2020-09-25,2020-10-05
Phase C,Task C3,2020-10-05,2020-10-15
Phase C,Task C4,2020-10-15,2020-10-30
