Date,isave_deposit,isave_withdraw,Ratio
1/1/2022,1.50E+11,10877004823,2.1276
1/2/2022,53578181170,31928783864,2.1103
1/3/2022,41479564704,42224158309,
1/4/2022,2.67E+11,3.08E+11,2.2007
1/5/2022,3.00E+11,2.53E+11,2.3947
1/6/2022,2.13E+11,2.22E+11,1.995
1/7/2022,3.33E+11,3.27E+11,1.9781
1/8/2022,2.29E+11,36766473541,1.8448
1/9/2022,84802497800,27498342599,1.8085
1/10/2022,2.41E+11,4.12E+11,2.1416
1/11/2022,2.05E+11,2.99E+11,1.9402
1/12/2022,3.18E+11,2.82E+11,1.828
1/13/2022,2.49E+11,2.21E+11,1.8838
1/14/2022,3.23E+11,1.83E+11,2.0323
1/15/2022,1.95E+11,76266216688,1.9506
1/16/2022,40677746177,11210924184,1.9314
1/17/2022,2.21E+11,4.25E+11,1.9921
1/18/2022,2.58E+11,3.78E+11,2.1073
1/19/2022,2.57E+11,3.16E+11,2.2263
1/20/2022,2.82E+11,3.19E+11,2.2983
1/21/2022,2.87E+11,2.61E+11,2.2098
1/22/2022,1.34E+11,40115622057,2.1326
1/23/2022,55602197439,26689249507,2.11
1/24/2022,2.30E+11,3.45E+11,2.2139
1/25/2022,3.17E+11,2.87E+11,2.1993
1/26/2022,3.27E+11,2.77E+11,2.2295
1/27/2022,3.15E+11,2.52E+11,2.1401
1/28/2022,7.71E+11,3.03E+11,1.7368
1/29/2022,3.31E+11,28722982486,1.5876
1/30/2022,97272957543,16555391077,1.552
1/31/2022,76124621669,9869614089,1.524
2/1/2022,22683528947,3997501479,1.5163
2/2/2022,21084619154,6130558725,1.5101
2/3/2022,14462485434,5104598807,1.5063
2/4/2022,25397378267,12212594709,1.501
2/5/2022,15232941540,8851792411,1.4984
2/6/2022,11946208285,11246226748,1.4981
2/7/2022,3.70E+11,4.49E+11,1.5463
2/8/2022,2.65E+11,2.81E+11,1.5295
2/9/2022,2.64E+11,2.37E+11,1.4658
2/10/2022,3.31E+11,2.75E+11,1.4531
2/11/2022,4.35E+11,3.11E+11,1.4367
2/12/2022,1.26E+11,25439359057,1.4
2/13/2022,41302526327,18185136623,1.3919
2/14/2022,2.68E+11,3.56E+11,1.4285
2/15/2022,3.09E+11,3.23E+11,1.4447
2/16/2022,3.97E+11,3.43E+11,1.5283
2/17/2022,4.14E+11,3.07E+11,1.4866
2/18/2022,4.91E+11,4.29E+11,1.4679
2/19/2022,1.47E+11,44003526536,1.4319
2/20/2022,57198312360,23493131770,1.4205
2/21/2022,2.57E+11,4.31E+11,1.487
2/22/2022,3.13E+11,3.94E+11,1.5586
2/23/2022,3.37E+11,3.11E+11,1.5854
2/24/2022,3.44E+11,3.97E+11,1.6188
2/25/2022,3.55E+11,3.04E+11,1.606
2/26/2022,2.54E+11,31072758263,1.5211
2/27/2022,53129905843,22192892961,1.51
2/28/2022,3.25E+11,4.85E+11,1.5838
3/1/2022,4.70E+11,3.99E+11,1.5286
3/2/2022,3.93E+11,4.22E+11,1.6615
3/3/2022,4.50E+11,3.50E+11,1.519
3/4/2022,4.61E+11,3.37E+11,1.499
3/5/2022,1.98E+11,69062729917,1.4557
3/6/2022,83314014814,29679091201,1.4385
3/7/2022,3.07E+11,5.65E+11,1.6251
3/8/2022,3.58E+11,4.26E+11,1.626
3/9/2022,4.83E+11,3.82E+11,1.4098
3/10/2022,5.04E+11,3.93E+11,1.4036
3/11/2022,5.70E+11,3.52E+11,1.3736
3/12/2022,2.36E+11,48232327257,1.3203
3/13/2022,36296942181,16097799615,1.3148
3/14/2022,4.46E+11,5.80E+11,1.3305
3/15/2022,4.11E+11,4.40E+11,1.4505
3/16/2022,4.84E+11,2.75E+11,1.4399
3/17/2022,4.56E+11,3.84E+11,1.4332
3/18/2022,4.05E+11,4.21E+11,1.4144
3/19/2022,1.68E+11,58759587516,1.3839
3/20/2022,60306130976,27451184615,1.375
3/21/2022,4.26E+11,5.41E+11,1.3942
3/22/2022,3.57E+11,3.29E+11,1.3738
3/23/2022,4.29E+11,2.98E+11,1.3149
3/24/2022,4.13E+11,4.26E+11,1.369
3/25/2022,4.43E+11,4.63E+11,1.3774
3/26/2022,2.57E+11,1.39E+11,1.3465
3/27/2022,35985240183,32222230570,1.3455
3/28/2022,3.39E+11,6.38E+11,1.4036
3/29/2022,3.93E+11,4.34E+11,1.4227
3/30/2022,3.59E+11,3.93E+11,1.4363
3/31/2022,3.82E+11,4.31E+11,1.4633
4/1/2022,5.65E+11,3.52E+11,1.4233
4/2/2022,2.97E+11,87761252466,1.3664
4/3/2022,56840929464,1.16E+11,1.3819
4/4/2022,4.13E+11,4.49E+11,1.382
4/5/2022,3.83E+11,3.58E+11,1.4026
4/6/2022,3.50E+11,4.97E+11,1.4129
4/7/2022,4.14E+11,4.59E+11,1.4205
4/8/2022,5.74E+11,4.10E+11,1.3056
4/9/2022,2.15E+11,36747008642,1.2617
4/10/2022,59112606508,17990223891,1.252
4/11/2022,77489217778,72632068274,1.2509
4/12/2022,3.23E+11,6.80E+11,1.2728
4/13/2022,4.87E+11,4.12E+11,1.2359
4/14/2022,4.27E+11,3.19E+11,1.1702
4/15/2022,4.11E+11,5.48E+11,1.2648
4/16/2022,2.38E+11,79713145608,1.2262
4/17/2022,34730781055,16009760709,1.2218
4/18/2022,4.29E+11,6.13E+11,1.2801
4/19/2022,3.55E+11,3.77E+11,1.2917
4/20/2022,4.10E+11,3.63E+11,1.3293
4/21/2022,3.50E+11,3.78E+11,1.3489
4/22/2022,3.90E+11,4.26E+11,1.3789
4/23/2022,1.99E+11,62026014363,1.3421
4/24/2022,51147763967,32714767373,1.3372
4/25/2022,3.16E+11,4.78E+11,1.3423
4/26/2022,4.47E+11,3.89E+11,1.3513
4/27/2022,4.53E+11,5.43E+11,1.3999
4/28/2022,5.20E+11,4.11E+11,1.3746
4/29/2022,6.08E+11,4.86E+11,1.3307
4/30/2022,1.92E+11,24738613103,1.2891
5/1/2022,75519184682,31684961551,1.2786
5/2/2022,60690276278,58432200015,
5/3/2022,1.04E+11,79208940589,1.2721
5/4/2022,6.17E+11,5.24E+11,1.1907
5/5/2022,6.45E+11,6.71E+11,1.192
5/6/2022,4.83E+11,4.22E+11,1.1668
5/7/2022,2.11E+11,88017471360,1.1415
5/8/2022,54870174303,32524806113,1.137
5/9/2022,3.18E+11,5.06E+11,1.1429
5/10/2022,5.63E+11,3.92E+11,1.1447
5/11/2022,4.28E+11,2.97E+11,1.1328
5/12/2022,3.89E+11,3.90E+11,1.1341
5/13/2022,5.78E+11,4.83E+11,1.102
5/14/2022,1.74E+11,83427349820,1.0853
5/15/2022,57817700187,21068377083,1.0787
5/16/2022,4.34E+11,5.04E+11,1.0931
5/17/2022,5.14E+11,7.30E+11,1.1439
5/18/2022,4.59E+11,4.04E+11,1.108
5/19/2022,4.71E+11,3.84E+11,1.1108
5/20/2022,4.36E+11,4.07E+11,1.1064
5/21/2022,2.06E+11,73300595623,1.0822
5/22/2022,52406947181,38906817051,1.0797
5/23/2022,5.79E+11,4.84E+11,1.0639
5/24/2022,4.03E+11,5.50E+11,1.0918
5/25/2022,4.85E+11,4.35E+11,1.0713
5/26/2022,4.60E+11,4.59E+11,1.07
5/27/2022,4.53E+11,3.69E+11,1.0589
5/28/2022,1.50E+11,52728711658,1.0424
5/29/2022,39205609888,23282662890,1.0398
5/30/2022,3.59E+11,4.53E+11,1.0601
5/31/2022,4.04E+11,4.39E+11,1.0729
6/1/2022,4.42E+11,4.92E+11,1.0769
6/2/2022,5.51E+11,4.28E+11,1.0517
6/3/2022,5.13E+11,4.05E+11,1.0416
6/4/2022,2.09E+11,43210203779,1.0149
6/5/2022,50697585188,34917181845,1.0124
6/6/2022,3.81E+11,7.26E+11,1.0707
6/7/2022,5.06E+11,4.24E+11,1.065
6/8/2022,3.96E+11,3.87E+11,1.0556
6/9/2022,3.41E+11,2.91E+11,1.0504
6/10/2022,3.53E+11,3.64E+11,1.0519
6/11/2022,1.34E+11,53936801599,1.0386
6/12/2022,39482493228,23596459026,1.036
6/13/2022,3.57E+11,5.68E+11,1.0596
6/14/2022,4.91E+11,4.94E+11,1.0936
6/15/2022,4.11E+11,3.69E+11,1.0962
6/16/2022,4.73E+11,4.12E+11,1.0835
6/17/2022,11836063161,11314660612,
